sample,station,date_sample,depth_m,species_name,size_class_cm,abundance,project
FI00003,SD6,6/27/1991,60,Chilara taylori,16,2,PLOO
FI00003,SD6,6/27/1991,60,Chitonotus pugetensis,8,1,PLOO
FI00003,SD6,6/27/1991,60,Citharichthys sordidus,3,1,PLOO
FI00003,SD6,6/27/1991,60,Citharichthys sordidus,4,4,PLOO
FI00003,SD6,6/27/1991,60,Citharichthys sordidus,5,3,PLOO
FI00003,SD6,6/27/1991,60,Citharichthys sordidus,7,1,PLOO
FI00003,SD6,6/27/1991,60,Citharichthys sordidus,9,2,PLOO
FI00003,SD6,6/27/1991,60,Citharichthys sordidus,10,4,PLOO
FI00003,SD6,6/27/1991,60,Citharichthys sordidus,11,2,PLOO
FI00003,SD6,6/27/1991,60,Citharichthys sordidus,21,1,PLOO
FI00003,SD6,6/27/1991,60,Citharichthys xanthostigma,4,1,PLOO
FI00003,SD6,6/27/1991,60,Citharichthys xanthostigma,5,1,PLOO
FI00003,SD6,6/27/1991,60,Citharichthys xanthostigma,6,2,PLOO
FI00003,SD6,6/27/1991,60,Citharichthys xanthostigma,7,5,PLOO
FI00003,SD6,6/27/1991,60,Citharichthys xanthostigma,8,3,PLOO
FI00003,SD6,6/27/1991,60,Citharichthys xanthostigma,9,4,PLOO
FI00003,SD6,6/27/1991,60,Citharichthys xanthostigma,10,4,PLOO
FI00003,SD6,6/27/1991,60,Citharichthys xanthostigma,11,5,PLOO
FI00003,SD6,6/27/1991,60,Citharichthys xanthostigma,12,6,PLOO
FI00003,SD6,6/27/1991,60,Citharichthys xanthostigma,13,8,PLOO
FI00003,SD6,6/27/1991,60,Citharichthys xanthostigma,14,9,PLOO
FI00003,SD6,6/27/1991,60,Citharichthys xanthostigma,15,2,PLOO
FI00003,SD6,6/27/1991,60,Eptatretus stoutii,24,1,PLOO
FI00003,SD6,6/27/1991,60,Hippoglossina stomata,21,2,PLOO
FI00003,SD6,6/27/1991,60,Hydrolagus colliei,47,1,PLOO
FI00003,SD6,6/27/1991,60,Hydrolagus colliei,49,1,PLOO
FI00003,SD6,6/27/1991,60,Icelinus quadriseriatus,5,4,PLOO
FI00003,SD6,6/27/1991,60,Icelinus quadriseriatus,6,16,PLOO
FI00003,SD6,6/27/1991,60,Icelinus quadriseriatus,7,19,PLOO
FI00003,SD6,6/27/1991,60,Icelinus quadriseriatus,8,3,PLOO
FI00003,SD6,6/27/1991,60,Microstomus pacificus,6,3,PLOO
FI00003,SD6,6/27/1991,60,Microstomus pacificus,7,4,PLOO
FI00003,SD6,6/27/1991,60,Microstomus pacificus,8,1,PLOO
FI00003,SD6,6/27/1991,60,Microstomus pacificus,11,1,PLOO
FI00003,SD6,6/27/1991,60,Pleuronichthys verticalis,13,1,PLOO
FI00003,SD6,6/27/1991,60,Pleuronichthys verticalis,14,1,PLOO
FI00003,SD6,6/27/1991,60,Pleuronichthys verticalis,15,1,PLOO
FI00003,SD6,6/27/1991,60,Pleuronichthys verticalis,24,1,PLOO
FI00003,SD6,6/27/1991,60,Porichthys notatus,6,1,PLOO
FI00003,SD6,6/27/1991,60,Porichthys notatus,7,6,PLOO
FI00003,SD6,6/27/1991,60,Porichthys notatus,8,6,PLOO
FI00003,SD6,6/27/1991,60,Porichthys notatus,11,1,PLOO
FI00003,SD6,6/27/1991,60,Porichthys notatus,12,1,PLOO
FI00003,SD6,6/27/1991,60,Sebastes saxicola,4,7,PLOO
FI00003,SD6,6/27/1991,60,Sebastes saxicola,5,3,PLOO
FI00003,SD6,6/27/1991,60,Sebastes saxicola,6,2,PLOO
FI00003,SD6,6/27/1991,60,Symphurus atricaudus,7,1,PLOO
FI00003,SD6,6/27/1991,60,Symphurus atricaudus,10,2,PLOO
FI00003,SD6,6/27/1991,60,Symphurus atricaudus,11,1,PLOO
FI00003,SD6,6/27/1991,60,Symphurus atricaudus,12,1,PLOO
FI00003,SD6,6/27/1991,60,Symphurus atricaudus,14,6,PLOO
FI00003,SD6,6/27/1991,60,Symphurus atricaudus,15,8,PLOO
FI00003,SD6,6/27/1991,60,Symphurus atricaudus,16,2,PLOO
FI00003,SD6,6/27/1991,60,Symphurus atricaudus,19,1,PLOO
FI00003,SD6,6/27/1991,60,Zalembius rosaceus,5,1,PLOO
FI00003,SD6,6/27/1991,60,Zalembius rosaceus,6,1,PLOO
FI00003,SD6,6/27/1991,60,Zalembius rosaceus,8,1,PLOO
FI00003,SD6,6/27/1991,60,Zalembius rosaceus,9,1,PLOO
FI00003,SD6,6/27/1991,60,Zalembius rosaceus,10,4,PLOO
FI00003,SD6,6/27/1991,60,Zaniolepis latipinnis,10,1,PLOO
FI00003,SD6,6/27/1991,60,Zaniolepis latipinnis,11,16,PLOO
FI00003,SD6,6/27/1991,60,Zaniolepis latipinnis,12,9,PLOO
FI00003,SD6,6/27/1991,60,Zaniolepis latipinnis,13,8,PLOO
FI00003,SD6,6/27/1991,60,Zaniolepis latipinnis,14,7,PLOO
FI00003,SD6,6/27/1991,60,Zaniolepis latipinnis,15,9,PLOO
FI00003,SD6,6/27/1991,60,Zaniolepis latipinnis,16,1,PLOO
FI00004,SD2,6/28/1991,64.9,Argentina sialis,11,1,PLOO
FI00004,SD2,6/28/1991,64.9,Citharichthys sordidus,5,1,PLOO
FI00004,SD2,6/28/1991,64.9,Citharichthys sordidus,11,1,PLOO
FI00004,SD2,6/28/1991,64.9,Citharichthys xanthostigma,11,1,PLOO
FI00004,SD2,6/28/1991,64.9,Citharichthys xanthostigma,12,3,PLOO
FI00004,SD2,6/28/1991,64.9,Citharichthys xanthostigma,13,5,PLOO
FI00004,SD2,6/28/1991,64.9,Citharichthys xanthostigma,14,3,PLOO
FI00004,SD2,6/28/1991,64.9,Citharichthys xanthostigma,15,3,PLOO
FI00004,SD2,6/28/1991,64.9,Citharichthys xanthostigma,16,2,PLOO
FI00004,SD2,6/28/1991,64.9,Hippoglossina stomata,20,1,PLOO
FI00004,SD2,6/28/1991,64.9,Hippoglossina stomata,22,1,PLOO
FI00004,SD2,6/28/1991,64.9,Icelinus quadriseriatus,6,2,PLOO
FI00004,SD2,6/28/1991,64.9,Icelinus quadriseriatus,7,1,PLOO
FI00004,SD2,6/28/1991,64.9,Lepidogobius lepidus,7,2,PLOO
FI00004,SD2,6/28/1991,64.9,Microstomus pacificus,6,1,PLOO
FI00004,SD2,6/28/1991,64.9,Microstomus pacificus,7,6,PLOO
FI00004,SD2,6/28/1991,64.9,Microstomus pacificus,8,2,PLOO
FI00004,SD2,6/28/1991,64.9,Microstomus pacificus,14,2,PLOO
FI00004,SD2,6/28/1991,64.9,Microstomus pacificus,15,2,PLOO
FI00004,SD2,6/28/1991,64.9,Microstomus pacificus,17,3,PLOO
FI00004,SD2,6/28/1991,64.9,Pleuronichthys verticalis,14,1,PLOO
FI00004,SD2,6/28/1991,64.9,Pleuronichthys verticalis,16,1,PLOO
FI00004,SD2,6/28/1991,64.9,Pleuronichthys verticalis,18,1,PLOO
FI00004,SD2,6/28/1991,64.9,Porichthys notatus,6,2,PLOO
FI00004,SD2,6/28/1991,64.9,Porichthys notatus,7,6,PLOO
FI00004,SD2,6/28/1991,64.9,Porichthys notatus,8,8,PLOO
FI00004,SD2,6/28/1991,64.9,Porichthys notatus,9,2,PLOO
FI00004,SD2,6/28/1991,64.9,Sebastes saxicola,4,2,PLOO
FI00004,SD2,6/28/1991,64.9,Sebastes saxicola,5,3,PLOO
FI00004,SD2,6/28/1991,64.9,Zalembius rosaceus,5,2,PLOO
FI00004,SD2,6/28/1991,64.9,Zalembius rosaceus,6,2,PLOO
FI00004,SD2,6/28/1991,64.9,Zalembius rosaceus,8,5,PLOO
FI00004,SD2,6/28/1991,64.9,Zalembius rosaceus,9,2,PLOO
FI00004,SD2,6/28/1991,64.9,Zalembius rosaceus,10,1,PLOO
FI00004,SD2,6/28/1991,64.9,Zaniolepis latipinnis,12,2,PLOO
FI00004,SD2,6/28/1991,64.9,Zaniolepis latipinnis,15,4,PLOO
FI00006,SD3,6/28/1991,60,Citharichthys sordidus,4,2,PLOO
FI00006,SD3,6/28/1991,60,Citharichthys sordidus,5,2,PLOO
FI00006,SD3,6/28/1991,60,Citharichthys sordidus,6,1,PLOO
FI00006,SD3,6/28/1991,60,Citharichthys sordidus,7,1,PLOO
FI00006,SD3,6/28/1991,60,Citharichthys sordidus,9,1,PLOO
FI00006,SD3,6/28/1991,60,Citharichthys sordidus,11,2,PLOO
FI00006,SD3,6/28/1991,60,Citharichthys sordidus,14,1,PLOO
FI00006,SD3,6/28/1991,60,Citharichthys xanthostigma,5,1,PLOO
FI00006,SD3,6/28/1991,60,Citharichthys xanthostigma,6,1,PLOO
FI00006,SD3,6/28/1991,60,Citharichthys xanthostigma,7,2,PLOO
FI00006,SD3,6/28/1991,60,Citharichthys xanthostigma,8,1,PLOO
FI00006,SD3,6/28/1991,60,Citharichthys xanthostigma,10,2,PLOO
FI00006,SD3,6/28/1991,60,Citharichthys xanthostigma,11,2,PLOO
FI00006,SD3,6/28/1991,60,Citharichthys xanthostigma,12,9,PLOO
FI00006,SD3,6/28/1991,60,Citharichthys xanthostigma,13,3,PLOO
FI00006,SD3,6/28/1991,60,Citharichthys xanthostigma,14,4,PLOO
FI00006,SD3,6/28/1991,60,Citharichthys xanthostigma,15,2,PLOO
FI00006,SD3,6/28/1991,60,Citharichthys xanthostigma,16,1,PLOO
FI00006,SD3,6/28/1991,60,Hippoglossina stomata,16,1,PLOO
FI00006,SD3,6/28/1991,60,Hippoglossina stomata,19,1,PLOO
FI00006,SD3,6/28/1991,60,Hippoglossina stomata,20,2,PLOO
FI00006,SD3,6/28/1991,60,Hippoglossina stomata,21,2,PLOO
FI00006,SD3,6/28/1991,60,Icelinus quadriseriatus,6,4,PLOO
FI00006,SD3,6/28/1991,60,Icelinus quadriseriatus,7,6,PLOO
FI00006,SD3,6/28/1991,60,Icelinus quadriseriatus,8,3,PLOO
FI00006,SD3,6/28/1991,60,Lepidogobius lepidus,4,2,PLOO
FI00006,SD3,6/28/1991,60,Lepidogobius lepidus,5,1,PLOO
FI00006,SD3,6/28/1991,60,Lepidogobius lepidus,6,2,PLOO
FI00006,SD3,6/28/1991,60,Lepidogobius lepidus,8,1,PLOO
FI00006,SD3,6/28/1991,60,Microstomus pacificus,6,2,PLOO
FI00006,SD3,6/28/1991,60,Microstomus pacificus,7,6,PLOO
FI00006,SD3,6/28/1991,60,Microstomus pacificus,13,1,PLOO
FI00006,SD3,6/28/1991,60,Microstomus pacificus,15,1,PLOO
FI00006,SD3,6/28/1991,60,Microstomus pacificus,16,1,PLOO
FI00006,SD3,6/28/1991,60,Microstomus pacificus,17,1,PLOO
FI00006,SD3,6/28/1991,60,Pleuronichthys verticalis,15,2,PLOO
FI00006,SD3,6/28/1991,60,Porichthys notatus,6,1,PLOO
FI00006,SD3,6/28/1991,60,Porichthys notatus,7,11,PLOO
FI00006,SD3,6/28/1991,60,Porichthys notatus,8,3,PLOO
FI00006,SD3,6/28/1991,60,Porichthys notatus,9,1,PLOO
FI00006,SD3,6/28/1991,60,Porichthys notatus,10,5,PLOO
FI00006,SD3,6/28/1991,60,Porichthys notatus,11,1,PLOO
FI00006,SD3,6/28/1991,60,Sebastes dallii,13,2,PLOO
FI00006,SD3,6/28/1991,60,Sebastes saxicola,4,7,PLOO
FI00006,SD3,6/28/1991,60,Sebastes saxicola,5,2,PLOO
FI00006,SD3,6/28/1991,60,Sebastes saxicola,6,1,PLOO
FI00006,SD3,6/28/1991,60,Sebastes saxicola,8,1,PLOO
FI00006,SD3,6/28/1991,60,Sebastes saxicola,10,1,PLOO
FI00006,SD3,6/28/1991,60,Symphurus atricaudus,12,1,PLOO
FI00006,SD3,6/28/1991,60,Symphurus atricaudus,13,5,PLOO
FI00006,SD3,6/28/1991,60,Symphurus atricaudus,14,6,PLOO
FI00006,SD3,6/28/1991,60,Symphurus atricaudus,16,1,PLOO
FI00006,SD3,6/28/1991,60,Zalembius rosaceus,6,1,PLOO
FI00006,SD3,6/28/1991,60,Zalembius rosaceus,11,1,PLOO
FI00006,SD3,6/28/1991,60,Zaniolepis latipinnis,12,1,PLOO
FI00006,SD3,6/28/1991,60,Zaniolepis latipinnis,13,4,PLOO
FI00006,SD3,6/28/1991,60,Zaniolepis latipinnis,14,3,PLOO
FI00006,SD3,6/28/1991,60,Zaniolepis latipinnis,15,7,PLOO
FI00006,SD3,6/28/1991,60,Zaniolepis latipinnis,16,5,PLOO
FI00007,SD4,6/28/1991,68.6,Argentina sialis,4,3,PLOO
FI00007,SD4,6/28/1991,68.6,Argentina sialis,5,1,PLOO
FI00007,SD4,6/28/1991,68.6,Argentina sialis,7,1,PLOO
FI00007,SD4,6/28/1991,68.6,Citharichthys sordidus,4,2,PLOO
FI00007,SD4,6/28/1991,68.6,Citharichthys sordidus,5,2,PLOO
FI00007,SD4,6/28/1991,68.6,Citharichthys sordidus,9,1,PLOO
FI00007,SD4,6/28/1991,68.6,Citharichthys sordidus,10,2,PLOO
FI00007,SD4,6/28/1991,68.6,Citharichthys xanthostigma,5,1,PLOO
FI00007,SD4,6/28/1991,68.6,Citharichthys xanthostigma,6,1,PLOO
FI00007,SD4,6/28/1991,68.6,Citharichthys xanthostigma,7,2,PLOO
FI00007,SD4,6/28/1991,68.6,Citharichthys xanthostigma,11,1,PLOO
FI00007,SD4,6/28/1991,68.6,Citharichthys xanthostigma,12,5,PLOO
FI00007,SD4,6/28/1991,68.6,Citharichthys xanthostigma,13,3,PLOO
FI00007,SD4,6/28/1991,68.6,Citharichthys xanthostigma,14,3,PLOO
FI00007,SD4,6/28/1991,68.6,Citharichthys xanthostigma,15,1,PLOO
FI00007,SD4,6/28/1991,68.6,Hippoglossina stomata,21,1,PLOO
FI00007,SD4,6/28/1991,68.6,Icelinus quadriseriatus,5,1,PLOO
FI00007,SD4,6/28/1991,68.6,Icelinus quadriseriatus,6,2,PLOO
FI00007,SD4,6/28/1991,68.6,Icelinus quadriseriatus,7,1,PLOO
FI00007,SD4,6/28/1991,68.6,Lepidogobius lepidus,5,1,PLOO
FI00007,SD4,6/28/1991,68.6,Lepidogobius lepidus,7,3,PLOO
FI00007,SD4,6/28/1991,68.6,Microstomus pacificus,6,3,PLOO
FI00007,SD4,6/28/1991,68.6,Microstomus pacificus,7,9,PLOO
FI00007,SD4,6/28/1991,68.6,Microstomus pacificus,8,1,PLOO
FI00007,SD4,6/28/1991,68.6,Microstomus pacificus,10,1,PLOO
FI00007,SD4,6/28/1991,68.6,Porichthys notatus,5,2,PLOO
FI00007,SD4,6/28/1991,68.6,Porichthys notatus,6,6,PLOO
FI00007,SD4,6/28/1991,68.6,Porichthys notatus,7,9,PLOO
FI00007,SD4,6/28/1991,68.6,Porichthys notatus,8,6,PLOO
FI00007,SD4,6/28/1991,68.6,Porichthys notatus,9,2,PLOO
FI00007,SD4,6/28/1991,68.6,Porichthys notatus,10,4,PLOO
FI00007,SD4,6/28/1991,68.6,Scorpaena guttata,20,1,PLOO
FI00007,SD4,6/28/1991,68.6,Sebastes dallii,12,1,PLOO
FI00007,SD4,6/28/1991,68.6,Sebastes dallii,13,2,PLOO
FI00007,SD4,6/28/1991,68.6,Sebastes rosenblatti,10,1,PLOO
FI00007,SD4,6/28/1991,68.6,Sebastes rosenblatti,13,1,PLOO
FI00007,SD4,6/28/1991,68.6,Sebastes saxicola,4,8,PLOO
FI00007,SD4,6/28/1991,68.6,Sebastes saxicola,5,3,PLOO
FI00007,SD4,6/28/1991,68.6,Sebastes saxicola,6,2,PLOO
FI00007,SD4,6/28/1991,68.6,Sebastes saxicola,7,4,PLOO
FI00007,SD4,6/28/1991,68.6,Sebastes saxicola,8,12,PLOO
FI00007,SD4,6/28/1991,68.6,Sebastes saxicola,9,4,PLOO
FI00007,SD4,6/28/1991,68.6,Sebastes saxicola,10,9,PLOO
FI00007,SD4,6/28/1991,68.6,Symphurus atricaudus,14,3,PLOO
FI00007,SD4,6/28/1991,68.6,Zalembius rosaceus,8,1,PLOO
FI00007,SD4,6/28/1991,68.6,Zalembius rosaceus,10,2,PLOO
FI00007,SD4,6/28/1991,68.6,Zalembius rosaceus,11,1,PLOO
FI00007,SD4,6/28/1991,68.6,Zaniolepis latipinnis,12,1,PLOO
FI00007,SD4,6/28/1991,68.6,Zaniolepis latipinnis,13,1,PLOO
FI00007,SD4,6/28/1991,68.6,Zaniolepis latipinnis,14,3,PLOO
FI00007,SD4,6/28/1991,68.6,Zaniolepis latipinnis,15,5,PLOO
FI00007,SD4,6/28/1991,68.6,Zaniolepis latipinnis,16,1,PLOO
FI00008,SD10,7/29/1991,100,Citharichthys sordidus,4,6,PLOO
FI00008,SD10,7/29/1991,100,Citharichthys sordidus,5,21,PLOO
FI00008,SD10,7/29/1991,100,Citharichthys sordidus,6,27,PLOO
FI00008,SD10,7/29/1991,100,Citharichthys sordidus,7,14,PLOO
FI00008,SD10,7/29/1991,100,Citharichthys sordidus,8,11,PLOO
FI00008,SD10,7/29/1991,100,Citharichthys sordidus,9,10,PLOO
FI00008,SD10,7/29/1991,100,Citharichthys sordidus,10,14,PLOO
FI00008,SD10,7/29/1991,100,Citharichthys sordidus,11,13,PLOO
FI00008,SD10,7/29/1991,100,Citharichthys sordidus,12,5,PLOO
FI00008,SD10,7/29/1991,100,Citharichthys stigmaeus,5,2,PLOO
FI00008,SD10,7/29/1991,100,Citharichthys stigmaeus,6,1,PLOO
FI00008,SD10,7/29/1991,100,Citharichthys xanthostigma,14,1,PLOO
FI00008,SD10,7/29/1991,100,Icelinus quadriseriatus,6,2,PLOO
FI00008,SD10,7/29/1991,100,Icelinus quadriseriatus,7,3,PLOO
FI00008,SD10,7/29/1991,100,Lyopsetta exilis,12,1,PLOO
FI00008,SD10,7/29/1991,100,Microstomus pacificus,6,1,PLOO
FI00008,SD10,7/29/1991,100,Microstomus pacificus,7,6,PLOO
FI00008,SD10,7/29/1991,100,Microstomus pacificus,8,1,PLOO
FI00008,SD10,7/29/1991,100,Microstomus pacificus,9,1,PLOO
FI00008,SD10,7/29/1991,100,Microstomus pacificus,10,1,PLOO
FI00008,SD10,7/29/1991,100,Microstomus pacificus,11,1,PLOO
FI00008,SD10,7/29/1991,100,Microstomus pacificus,12,2,PLOO
FI00008,SD10,7/29/1991,100,Microstomus pacificus,13,1,PLOO
FI00008,SD10,7/29/1991,100,Microstomus pacificus,14,2,PLOO
FI00008,SD10,7/29/1991,100,Pleuronectidae,3,1,PLOO
FI00008,SD10,7/29/1991,100,Pleuronectidae,4,1,PLOO
FI00008,SD10,7/29/1991,100,Porichthys notatus,7,1,PLOO
FI00008,SD10,7/29/1991,100,Porichthys notatus,8,6,PLOO
FI00008,SD10,7/29/1991,100,Porichthys notatus,9,10,PLOO
FI00008,SD10,7/29/1991,100,Porichthys notatus,10,5,PLOO
FI00008,SD10,7/29/1991,100,Porichthys notatus,11,1,PLOO
FI00008,SD10,7/29/1991,100,Porichthys notatus,12,4,PLOO
FI00008,SD10,7/29/1991,100,Rhinogobiops nicholsii,6,1,PLOO
FI00008,SD10,7/29/1991,100,Sebastes saxicola,6,1,PLOO
FI00008,SD10,7/29/1991,100,Sebastes saxicola,7,2,PLOO
FI00008,SD10,7/29/1991,100,Sebastes saxicola,8,12,PLOO
FI00008,SD10,7/29/1991,100,Sebastes saxicola,9,41,PLOO
FI00008,SD10,7/29/1991,100,Sebastes saxicola,10,36,PLOO
FI00008,SD10,7/29/1991,100,Sebastes saxicola,11,15,PLOO
FI00008,SD10,7/29/1991,100,Sebastes saxicola,12,2,PLOO
